id,course_id,date,hour,location,address
1,1,2020-01-19,16:20:00,"Appartamento 41","Contrada Claudia 370 Piano 9"
2,1,2020-02-05,10:20:00,"Appartamento 34","Incrocio Pietro 7"
3,1,2020-06-20,12:20:00,"Appartamento 23","Via Bibiana 13 Appartamento 66"
4,1,2020-07-16,10:30:00,"Piano 9","Rotonda Giuliani 5"
5,1,2020-09-11,16:30:00,"Piano 3","Rotonda Pagano 966 Piano 6"
6,2,2020-01-22,13:45:00,"Appartamento 85","Borgo Barbieri 96"
7,2,2020-02-08,16:00:00,"Piano 4","Piazza De luca 18 Piano 5"
8,2,2020-06-14,16:15:00,"Appartamento 60","Via Tosca 8 Appartamento 01"
9,2,2020-07-18,13:40:00,"Appartamento 18","Piazza Pellegrini 122"
10,2,2020-09-13,11:15:00,"Appartamento 84","Borgo D'angelo 3 Piano 2"
11,3,2020-01-18,14:00:00,"Appartamento 58","Contrada Elda 759 Piano 1"
12,3,2020-02-02,09:20:00,"Piano 9","Rotonda Teseo 29"
13,3,2020-06-24,11:45:00,"Piano 2","Rotonda Rinaldi 504"
14,3,2020-07-07,14:00:00,"Appartamento 28","Rotonda Galli 85 Appartamento 25"
15,3,2020-09-24,16:15:00,"Appartamento 62","Incrocio Sorrentino 6"
16,4,2020-01-23,16:20:00,"Appartamento 56","Borgo Lombardi 327 Piano 2"
17,4,2020-02-07,14:40:00,"Appartamento 58","Rotonda Miriana 362 Appartamento 72"
18,4,2020-06-25,15:45:00,"Piano 6","Contrada Furio 4"
19,4,2020-07-10,10:15:00,"Piano 4","Rotonda Leone 4"
20,4,2020-09-04,14:20:00,"Piano 2","Rotonda Fortunata 9"
21,5,2020-01-24,16:40:00,"Appartamento 12","Strada Gianleonardo 999 Piano 3"
22,5,2020-02-03,09:15:00,"Piano 9","Incrocio Rebecca 181"
23,5,2020-06-20,09:40:00,"Appartamento 98","Rotonda Leone 5 Appartamento 88"
24,5,2020-07-18,16:15:00,"Piano 4","Piazza De rosa 46"
25,5,2020-09-11,13:40:00,"Piano 2","Rotonda Vitali 3 Appartamento 51"
26,6,2020-01-25,13:00:00,"Appartamento 46","Borgo Palumbo 4 Appartamento 15"
27,6,2020-02-04,09:00:00,"Appartamento 39","Incrocio Mariani 333"
28,6,2020-06-10,13:20:00,"Appartamento 95","Incrocio Grazia 386"
29,6,2020-07-08,10:20:00,"Appartamento 62","Via Pellegrino 383"
30,6,2020-09-05,10:15:00,"Appartamento 52","Rotonda Clea 2 Piano 1"
31,7,2020-01-22,11:15:00,"Appartamento 41","Piazza Helga 424 Piano 1"
