/* 
BONUS: Selezionare per ogni studente il numero di tentativi sostenuti per ogni esame, stampando anche il voto massimo.
Successivamente, filtrare i tentativi con voto minimo 18.
*/

SELECT
id,
COUNT(*) AS "numero_tentativi",
MAX(vote) AS "voto_massimo"
FROM students
JOIN exam_student ON exam_student.student_id = students.id
GROUP BY students.id

id,numero_tentativi,voto_massimo
81,3,29
119,10,32
235,6,27
342,7,33
478,5,33
553,7,31
637,8,27
723,11,32
757,16,32
1088,6,29
1302,16,31
1356,8,26
1418,10,32
1444,5,29
1510,7,33
1552,12,27
1653,9,32
1798,9,28
1995,4,33
2294,15,33
2296,15,32
2414,2,4
2439,14,33
2650,5,20
2668,14,32
2714,10,28
3213,6,29
3383,10,30
3643,6,24
3649,7,33
4282,4,32
4432,6,32
4703,7,29
4897,8,31
197,8,30
285,7,32
391,14,32
524,1,29
829,5,31
1257,13,33
1579,3,33
2153,2,32
2234,9,29
2283,5,24
2575,8,24
2850,8,33
3476,9,27
3613,9,26
4020,5,33
4719,6,30
4930,5,28
358,3,30
511,5,24
690,6,24
1536,11,32
2455,13,26
2522,12,31
2936,3,10
3355,5,30
3484,5,25
3897,3,25
4167,10,33
4430,3,17
357,3,29
619,12,33
1438,3,29
3579,14,31
3793,4,32
4258,6,30
1348,4,25
110,5,32
304,12,33
350,17,29
368,23,33
440,19,33
530,8,25
1000,16,32
1150,11,31
1213,4,24
1296,4,33
1399,14,29
1533,16,32
1729,18,32
1959,22,32
1997,22,33
2071,9,28
2086,11,25
2089,8,33
2143,7,24
2165,21,33
2295,11,28
2460,13,32
2535,7,33
2542,10,25
2782,9,31
2917,14,28
2918,20,31
3097,21,32
3252,11,31
3268,13,29
3272,23,32
3275,12,33
3520,11,31
3546,16,29
3571,5,27
3631,24,32
3847,25,33
3947,4,31
4242,5,32
4312,10,32
4338,7,33
4515,5,32
4681,19,29
4689,17,33
4769,17,32
4793,29,33
4809,4,24
4973,7,30
4981,22,33
4996,14,31
243,3,26
267,20,33
293,6,31
506,5,19
778,8,33
950,6,33
1384,13,32
1411,19,29
1581,6,33
2634,14,28
3094,13,31
3189,17,32
3409,5,29
3821,11,31
4248,12,33
4411,8,33
4717,22,32
4824,9,25
4903,3,26
74,14,33
359,10,26
1334,3,23
2046,15,32
2151,2,23
3161,2,29
3182,6,29
3261,7,29
4538,5,28
4644,12,33
4777,12,33
1420,18,30
1614,12,31
2228,21,32
4025,3,32
106,12,33
4101,13,31
4801,2,31
2629,2,25
4654,15,28
203,9,33
480,6,32
517,8,29
625,19,33
1052,5,33
1076,3,31
1301,3,21
1596,14,33
1679,11,32
2115,6,28
2329,14,33
2816,16,33
2871,16,32
3062,10,30
3102,19,33
3227,8,31
3745,12,32
3994,11,33
4065,5,33
4147,9,27
4210,17,33
4213,17,33
4320,10,33
4493,8,27
4594,7,27
4920,7,30
4983,15,33
238,10,33
1009,5,22
1163,5,29
1216,4,30
2177,5,28
2342,7,33
2456,13,27
2749,9,27
2833,8,32
2853,4,32
3037,11,29
3202,4,33
3322,7,32
3384,3,32
3862,6,31
4375,20,33
4502,18,32
4670,10,31
4917,9,28
4977,10,28
306,11,33
1483,13,27
1545,2,25
1942,3,22
3517,15,33
4017,9,30
4641,5,33
4729,16,33
1036,14,33
1765,11,30
1855,5,31
4047,5,19
4271,1,16
513,4,27
55,8,32
126,15,32
159,12,33
210,3,27
211,15,33
430,4,18
557,15,31
624,2,29
763,5,25
789,4,29
917,18,33
1697,8,25
1739,6,29
1864,19,30
1924,13,33
2005,21,28
2052,12,33
2124,3,29
2189,5,21
2387,18,32
2443,16,33
2555,7,29
2612,4,31
2635,3,27
2640,4,19
2671,15,28
2799,5,33
2925,4,32
2941,5,28
2947,11,27
2998,11,33
3293,21,33
4043,6,32
4162,6,30
4285,13,32
4720,2,28
4815,10,33
4889,3,25
271,12,32
418,1,32
1929,19,32
2434,2,24
2527,10,33
2902,12,31
3076,4,21
3387,9,33
3537,10,32
3540,4,33
3617,14,32
4112,2,29
4384,5,24
4504,9,30
4750,6,30
4994,9,33
83,5,31
205,9,33
291,3,25
541,2,24
977,3,28
3766,6,33
3928,16,33
4723,9,33
2812,1,32
3411,7,33
4726,10,31
1812,17,29
3375,9,25
2587,4,21
18,4,22
32,8,32
150,10,30
185,8,32
251,10,32
379,10,32
423,8,26
638,10,30
705,9,32
824,10,29
975,5,30
1157,5,33
1173,16,32
1339,10,33
1625,11,26
2104,10,32
2163,12,32
2247,5,31
2418,6,27
2651,12,32
2681,9,32
2800,4,32
2810,6,32
3054,11,33
3412,12,32
3492,6,30
3570,5,28
3704,7,33
3818,7,33
4497,10,26
4652,5,27
4880,6,33
4991,6,31
134,12,33
838,10,30
897,5,29
1448,7,33
1836,11,22
2332,4,27
2605,5,26
2906,7,29
3137,8,33
3199,3,29
4609,11,32
4971,2,23
2331,11,30
2353,3,26
3341,7,31
4573,5,27
4626,7,32
4631,6,32
4817,9,32
4851,12,32
113,4,33
1175,3,29
2238,7,30
3320,7,33
3658,7,25
3207,4,31
986,5,24
2174,6,31
4838,1,25
40,3,28
85,3,26
457,11,31
551,12,29
706,7,33
880,7,28
887,3,24
1452,4,24
1834,8,26
1892,1,30
2154,2,30
2279,9,32
2576,3,19
2611,3,29
2768,8,26
3040,17,32
3084,10,28
3204,6,27
3382,2,17
3450,2,33
3596,3,22
3777,8,31
3813,5,29
4222,6,30
4481,4,31
4508,4,31
4552,9,30
4645,6,32
4990,8,27
525,6,31
699,9,32
874,4,32
879,9,25
1078,7,33
1081,11,31
1146,9,29
1824,1,21
2015,4,25
2235,3,26
