/* 
BONUS: Selezionare per ogni studente il numero di tentativi sostenuti per ogni esame, stampando anche il voto massimo.
Successivamente, filtrare i tentativi con voto minimo 18.
*/

SELECT
id,
COUNT(*) AS "numero_tentativi",
MAX(vote) AS "voto_massimo"
FROM students
JOIN exam_student ON exam_student.student_id = students.id
WHERE vote > 18
GROUP BY students.id

id,numero_tentativi,voto_massimo
81,2,29
119,6,32
235,5,27
342,6,33
723,3,32
757,8,32
1302,9,31
1444,3,29
1653,8,32
1995,3,33
2294,7,33
2296,8,32
3643,4,24
3649,5,33
4282,4,32
4432,3,32
1356,4,26
1510,4,33
1552,5,27
2439,5,33
2650,2,20
3383,5,30
2668,7,32
3213,2,29
637,2,27
285,6,32
391,7,32
478,3,33
524,1,29
1088,2,29
1579,3,33
2234,5,29
2283,1,24
2575,5,24
4703,1,29
4930,2,28
829,3,31
1257,9,33
1418,5,32
2850,4,33
3613,4,26
358,3,30
1798,3,28
2153,1,32
3355,4,30
3476,5,27
4167,5,33
4719,4,30
197,2,30
690,2,24
1536,4,32
2455,6,26
619,5,33
2522,7,31
3793,4,32
4020,2,33
357,1,29
1438,1,29
3897,1,25
553,2,31
4897,5,31
511,2,24
1348,3,25
2714,2,28
3579,4,31
4258,4,30
3484,2,25
304,6,33
368,10,33
440,9,33
1000,7,32
1296,2,33
2071,4,28
2089,4,33
2143,4,24
2295,7,28
2460,4,32
2782,4,31
2917,7,28
2918,11,31
3097,9,32
3268,8,29
3272,9,32
3546,6,29
3571,4,27
3847,11,33
3947,2,31
4242,4,32
4312,5,32
4338,3,33
4515,4,32
4769,8,32
4793,11,33
110,2,32
1213,1,24
1533,10,32
1729,10,32
3275,7,33
4689,7,33
4809,3,24
4973,4,30
4981,9,33
4996,6,31
2086,3,25
243,1,26
293,5,31
1399,5,29
1411,7,29
1581,4,33
3094,6,31
3409,2,29
3631,8,32
3821,6,31
4248,7,33
4903,3,26
778,3,33
1384,6,32
4824,3,25
74,8,33
359,5,26
506,1,19
1997,12,33
2151,1,23
3161,2,29
3252,5,31
3261,3,29
4538,2,28
4644,10,33
4717,10,32
1334,2,23
3182,2,29
2165,7,33
267,13,33
530,3,25
2535,3,33
4411,3,33
2046,8,32
350,5,29
1420,8,30
2634,5,28
4777,5,33
2542,2,25
3189,5,32
106,8,33
1150,3,31
1959,10,32
4025,2,32
4101,6,31
4801,2,31
1614,4,31
2228,9,32
3520,5,31
4681,5,29
2629,1,25
4654,4,28
950,2,33
203,6,33
480,4,32
1679,3,32
2329,5,33
2816,9,33
3102,10,33
3227,4,31
3745,5,32
4065,3,33
4210,8,33
4320,6,33
4493,3,27
4920,6,30
4983,6,33
517,5,29
1596,6,33
2115,2,28
4213,7,33
3062,5,30
238,4,33
1009,4,22
1052,2,33
2749,4,27
2853,2,32
3037,5,29
3202,2,33
3322,3,32
3384,2,32
3862,3,31
4594,3,27
4670,6,31
4917,5,28
4977,7,28
4375,7,33
1163,3,29
1942,2,22
4017,5,30
4147,4,27
306,3,33
1483,7,27
1765,7,30
2177,3,28
2456,6,27
2871,8,32
4047,2,19
4502,8,32
4729,5,33
625,6,33
2833,1,32
1036,5,33
1216,2,30
1545,1,25
1855,3,31
3517,8,33
4641,3,33
1301,1,21
1076,1,31
513,1,27
2342,2,33
3994,3,33
55,4,32
624,2,29
1924,8,33
2005,8,28
2052,6,33
2612,3,31
2635,2,27
2925,2,32
4043,3,32
4162,5,30
4285,5,32
4720,1,28
210,1,27
2124,2,29
2671,5,28
2799,3,33
3293,9,33
2189,1,21
2947,6,27
271,6,32
418,1,32
789,2,29
917,11,33
2387,8,32
2434,1,24
2527,6,33
4112,2,29
4384,3,24
4889,1,25
1929,9,32
2555,3,29
159,5,33
763,2,25
2443,7,33
2941,2,28
3076,3,21
3766,5,33
83,4,31
541,1,24
977,2,28
1739,2,29
2640,1,19
291,1,25
2812,1,32
3928,5,33
4723,4,33
4815,5,33
3411,2,33
1812,9,29
3540,1,33
4750,5,30
4994,5,33
4726,4,31
211,7,33
1697,4,25
2902,2,31
3375,6,25
3387,4,33
205,6,33
557,6,31
1864,6,30
126,4,32
3537,3,32
3617,6,32
2587,3,21
2998,3,33
4504,4,30
32,4,32
379,7,32
705,8,32
824,5,29
1157,3,33
1625,7,26
2104,6,32
2163,8,32
2651,7,32
2681,5,32
2810,4,32
3054,7,33
3412,5,32
4497,4,26
4652,2,27
4880,4,33
3704,3,33
4991,3,31
638,4,30
897,2,29
2332,1,27
2418,3,27
2605,4,26
3199,3,29
3570,2,28
4971,2,23
134,7,33
423,3,26
1173,5,32
3137,4,33
4609,6,32
150,3,30
975,2,30
2247,2,31
2353,3,26
3341,3,31
4573,3,27
4631,2,32
4851,8,32
18,1,22
1175,3,29
2238,3,30
2331,3,30
3320,5,33
2906,3,29
1448,3,33
251,5,32
1339,6,33
3207,3,31
3658,2,25
185,2,32
838,5,30
986,2,24
2174,4,31
1836,3,22
3818,3,33
4838,1,25
113,1,33
2800,1,32
4626,3,32
4817,2,32
3492,1,30
40,1,28
457,7,31
551,7,29
880,5,28
887,2,24
1452,2,24
1834,6,26
1892,1,30
2279,2,32
2576,1,19
3450,2,33
3777,4,31
4508,4,31
4645,4,32
4990,5,27
4481,1,31
85,2,26
879,4,25
1078,4,33
1824,1,21
2015,3,25
2154,1,30
2491,6,29
3040,5,32
3084,5,28
3458,2,30
3813,2,29
4155,2,23
4501,7,33
4744,4,33
1081,7,31
3753,6,27
4055,4,25
525,1,31
706,2,33
1405,4,29
1962,2,24
1965,3,32
2235,2,26
2611,1,29
3596,1,22
3204,3,27
4222,1,30
4552,3,30
362,1,32
3431,2,20
699,5,32
939,1,21
4757,3,26
1146,3,29
2351,1,32
3379,2,28
4061,1,25
794,2,21
4379,2,31
1087,2,31
1217,3,29
2768,2,26
874,1,32
3157,2,23
323,3,31
576,7,31
1085,1,19
1185,3,33
1788,3,30
1844,3,31
2393,4,33
2476,5,30
2908,5,33
3032,6,32
3723,3,33
3832,2,29
4198,6,33
4313,4,32
1953,2,28
4212,3,26
4584,6,32
354,5,33
3836,4,31
202,5,24
300,2,21
451,3,26
691,5,31
1082,4,27
1557,2,27
1827,5,32
3001,2,25
3061,2,33
3115,7,33
3216,2,21
2553,5,33
3296,4,31
828,2,28
1093,5,29
1270,7,33
1933,2,33
1988,4,29
2204,5,33
2695,1,23
4195,6,32
4394,3,33
4949,2,32
104,6,28
1359,3,27
1413,4,26
4612,5,32
568,6,27
607,6,33
738,6,32
2359,4,31
4828,2,20
476,2,30
518,3,33
702,5,32
3103,2,32
4442,2,32
488,1,23
2381,6,25
3365,3,28
914,4,33
2146,1,24
1231,1,28
1690,3,32
3895,3,32
3381,2,27
3679,1,32
2480,1,32
382,5,33
770,9,33
856,3,29
902,6,29
1343,1,20
2337,3,33
2613,6,32
2709,3,27
2880,9,33
3016,7,31
3186,4,33
3194,8,31
3535,6,30
3683,5,31
3691,6,33
3746,2,24
3839,4,33
3958,3,29
4397,3,26
4516,6,29
2579,9,30
2585,3,30
4370,2,25
4436,9,33
4178,6,33
109,4,29
355,5,33
933,8,33
1954,7,31
2048,4,32
3012,5,30
3082,2,31
3748,3,32
1285,3,30
3259,5,28
1499,6,33
124,7,30
1255,5,29
1430,5,33
3308,7,31
3332,2,33
3521,1,30
4012,5,28
4031,1,25
2727,3,29
1619,3,29
894,3,29
1894,7,33
2313,1,27
2463,5,33
2735,3,33
3221,2,27
3949,4,33
4418,6,32
4975,2,27
2830,3,28
2571,2,30
2458,3,30
3029,1,25
3846,1,22
4461,1,32
4684,2,27
1629,1,22
2193,2,29
2053,1,19
2350,5,33
3423,1,27
3770,1,22
882,1,30
1336,1,24
2518,2,33
2567,1,20
1325,1,26
4772,1,23
261,4,30
626,3,32
1126,6,32
1922,6,33
2018,4,32
2604,3,27
2988,5,29
3316,3,23
3673,5,29
3701,5,33
4279,6,33
4367,4,31
4401,3,27
4836,5,33
31,4,30
3266,1,26
2742,7,27
4036,2,25
641,3,33
1205,5,32
1681,4,33
2751,3,26
2766,6,28
2838,7,33
2858,2,32
2953,4,32
3056,5,29
3205,2,33
3314,6,33
3954,5,33
4192,5,32
4236,5,33
2512,5,33
3403,6,31
4224,7,31
4621,1,27
643,4,29
376,3,31
995,3,32
2246,3,27
2602,5,33
4428,2,27
1712,4,30
1938,3,26
2032,4,29
2968,3,26
452,4,33
1111,4,32
1118,3,27
1347,2,32
3577,3,31
3968,5,33
4073,6,31
4160,1,30
4316,7,32
944,2,31
985,4,31
1868,3,31
4421,3,26
123,2,31
1204,1,30
3284,2,26
4965,1,22
1749,2,26
1961,4,29
1985,3,31
4419,1,31
2140,3,31
3569,2,33
118,2,28
3629,3,32
1245,2,26
3262,1,28
845,3,31
959,3,31
1044,7,32
1891,3,29
2117,3,28
2885,4,33
3327,6,33
3959,6,32
4206,4,33
4265,4,30
4376,6,32
4649,8,33
4679,7,32
4808,5,29
583,9,32
1859,4,28
4736,2,32
56,5,31
1346,7,33
1857,5,32
2380,5,24
3214,1,23
3680,3,26
766,3,30
1803,4,33
4078,3,32
4667,4,31
549,5,28
818,5,32
869,2,27
938,8,33
972,2,21
1095,4,31
1252,7,33
1295,5,27
1631,1,19
4435,3,26
4287,7,32
3049,6,32
4921,6,28
409,3,30
1123,3,33
2311,3,30
2915,7,33
3550,3,31
4804,3,27
4187,6,29
171,9,30
4787,6,32
4637,4,33
2509,6,30
1514,3,28
1923,7,33
2044,3,33
2689,3,33
4233,5,31
809,2,33
3500,5,33
4942,4,30
3637,5,33
3728,1,32
489,5,33
218,6,31
642,11,33
815,8,30
1035,2,33
1429,1,24
1656,8,33
1663,1,19
1932,6,28
2091,6,29
2426,4,27
2725,1,22
2747,7,32
2966,6,32
3330,7,32
3609,7,29
3822,2,32
3853,3,31
4016,5,31
4905,6,28
4974,4,32
655,3,31
1278,7,33
1654,4,33
2355,7,31
4404,4,28
4899,4,33
735,2,28
777,2,25
1202,5,33
1522,6,27
2006,1,30
2087,5,30
2335,2,22
2596,3,32
3025,4,32
3145,3,33
3505,5,32
3873,2,29
4030,3,31
4132,4,31
4134,3,33
4469,6,31
4669,4,32
1294,5,33
3855,2,32
397,4,32
594,7,29
1672,3,26
2597,4,33
2678,4,31
3022,7,32
3173,4,33
435,4,28
155,1,22
746,7,33
2862,1,26
2995,3,32
3817,1,24
3420,1,30
315,2,32
4731,7,33
383,4,33
4536,1,29
3311,1,28
1476,2,27
4614,3,33
94,3,25
145,3,30
213,5,33
252,8,32
753,3,30
1242,8,29
1554,5,28
1632,5,28
1846,10,33
2748,6,33
4225,3,25
4294,3,26
4380,6,33
4964,4,30
1820,9,32
2495,7,32
399,5,26
670,5,31
1396,10,33
1763,3,32
2109,9,33
2539,4,30
2989,8,33
3552,4,32
4874,7,32
732,5,32
4121,3,26
69,3,32
934,11,32
1956,2,29
2004,2,24
2139,10,32
4733,7,32
4759,8,31
1016,4,32
1164,9,33
3124,8,32
2954,5,32
4139,2,25
4745,9,33
86,5,33
215,3,31
507,3,31
1740,2,28
2328,4,29
3138,5,30
2600,2,33
3940,7,33
1578,1,24
2008,3,31
799,4,33
1159,1,27
2145,2,28
2545,6,33
2554,6,32
2599,3,24
2951,8,33
3519,8,33
4459,3,31
4749,1,32
4883,3,32
1980,3,26
3247,1,28
1147,7,32
1084,5,33
1178,1,21
1247,2,25
1328,1,28
1808,2,27
2063,2,26
2064,5,32
2317,7,32
2360,5,32
3112,4,32
3135,2,24
4088,3,33
4362,3,32
4540,9,33
4800,2,31
3196,4,33
3902,1,29
4940,4,27
2465,4,28
93,2,33
1192,3,28
2326,6,30
4972,1,20
4643,1,31
1443,2,30
1233,1,22
1879,2,31
2019,6,33
3060,6,30
3209,1,21
1113,3,25
3980,3,33
580,1,24
1986,3,25
3890,1,23
4159,4,33
943,4,32
3087,6,32
3210,4,30
3820,6,33
4760,3,33
3969,3,33
297,2,29
1716,2,29
3600,4,33
909,2,24
981,5,32
1254,4,29
1539,6,31
1790,4,33
1957,5,26
2990,2,24
3212,6,31
3367,1,33
3573,4,33
3885,7,30
4168,3,31
4220,5,32
4426,3,32
229,4,32
407,4,25
817,3,26
1830,4,27
2985,4,33
3866,3,30
4040,5,31
76,2,33
742,4,32
796,3,31
812,6,29
1100,3,27
1466,5,32
2876,3,24
2910,4,33
3305,5,32
3392,6,33
3771,4,31
3774,5,30
247,3,28
1688,1,20
2594,6,32
636,3,30
662,2,25
1341,2,21
3047,4,33
982,4,32
2557,4,26
1064,1,24
2039,5,33
2498,1,27
3352,2,27
4611,5,32
2166,2,24
725,1,25
1978,4,31
3495,1,31
3538,3,26
4154,3,33
4490,3,30
2795,1,20
3404,4,30
4890,4,32
4878,1,28
618,3,31
646,5,31
891,1,30
1116,5,32
1253,6,32
1494,9,30
1567,6,27
1586,1,22
1747,11,33
1994,3,33
2745,2,33
2981,6,32
3639,4,32
4303,7,28
3443,2,26
4688,2,33
3692,2,27
922,7,33
2370,5,29
2407,6,28
2552,9,30
3880,6,32
4485,9,33
1051,2,33
3510,4,33
179,6,33
667,5,26
1881,1,19
1920,1,22
2367,9,32
2752,2,30
3326,1,22
4962,1,28
1471,7,33
2808,5,24
3131,6,33
4489,8,31
1228,4,31
3417,6,31
3858,6,33
1555,7,31
2993,1,19
595,3,32
1256,1,29
189,2,21
263,4,30
277,3,31
884,3,24
1172,2,22
1208,8,30
1509,2,21
1738,6,27
1845,2,26
1870,8,33
1896,6,33
2131,10,33
2187,5,26
2223,4,31
2769,7,33
3522,5,32
3578,7,32
3608,8,29
3834,4,26
4023,4,28
4079,6,30
4413,5,28
4806,2,33
899,6,29
1056,3,31
1737,4,33
1982,2,30
2237,6,31
2823,7,29
3434,8,33
3727,7,33
4007,8,32
4173,2,23
4434,6,33
2041,4,33
4026,10,33
279,5,31
569,4,29
657,1,27
1169,6,33
1531,3,31
1661,2,31
3013,3,33
3273,7,32
3512,5,33
3794,4,30
3815,2,30
3975,8,32
168,3,33
927,2,31
3165,1,29
3960,1,19
217,5,33
837,4,21
1741,3,32
1832,6,32
1947,1,28
2801,8,33
2978,7,33
3364,5,33
3380,2,31
4293,3,31
4477,8,31
4491,9,33
92,2,26
272,3,30
469,2,33
1106,7,29
4914,7,32
2889,1,30
3758,2,26
644,3,29
791,1,22
538,4,27
3128,2,31
3139,1,30
2382,4,32
2027,3,32
4855,1,21
4900,5,30
4361,4,30
4628,2,29
2682,1,20
4120,1,19
2754,4,30
105,3,31
345,7,30
404,3,27
1486,3,29
1745,5,28
1852,6,33
1884,2,27
2136,6,33
2496,11,33
2783,5,32
3105,7,32
3333,4,32
3790,4,27
4156,3,33
4866,5,27
1849,5,31
4424,9,33
4741,5,33
3070,3,26
2586,2,30
497,3,31
1916,5,32
1950,7,33
2034,2,29
2497,8,32
3236,3,32
3581,3,30
4185,8,33
4553,7,33
4770,9,32
127,4,30
335,5,33
614,11,33
3826,4,30
170,8,31
2546,5,31
3491,2,23
4214,7,28
4268,1,19
4604,2,33
4675,2,31
125,4,32
1021,8,32
2384,3,27
4443,8,33
2730,10,32
1816,6,33
3440,5,30
4240,5,30
3803,7,28
639,2,33
3313,3,30
250,7,33
3154,5,33
3915,6,31
2072,6,33
1017,5,32
3356,4,27
546,7,31
1251,3,27
3348,5,31
1160,1,27
1638,2,26
2069,5,33
694,1,33
41,2,29
324,6,33
926,6,33
2130,3,32
2273,7,31
2346,8,31
2883,2,30
3280,4,28
3712,9,33
3829,5,33
3879,5,31
4118,6,32
4718,7,33
455,8,33
689,6,33
800,1,31
2622,7,31
3096,5,29
3616,6,29
3628,8,31
2289,8,27
843,3,32
958,3,27
1134,2,30
1145,5,31
2113,8,31
2849,3,33
3166,4,31
3328,2,33
4161,6,32
4391,8,32
4402,3,30
782,2,28
1137,5,32
2192,2,30
3099,7,32
4724,8,33
191,3,30
90,6,28
253,5,32
1551,7,33
1642,9,32
1710,3,26
1770,2,27
2075,8,33
3340,1,20
4137,3,32
4566,5,33
4737,4,33
4919,7,33
5,5,33
544,4,28
2158,2,27
3618,4,31
3044,4,30
523,7,31
3178,5,32
3908,3,33
3946,5,27
745,7,33
1757,7,33
3347,2,33
1005,2,28
2538,6,32
4029,1,21
4701,2,28
121,2,32
2073,2,29
4249,2,32
4762,1,27
785,3,33
3767,4,30
80,3,31
186,5,33
596,4,31
906,9,32
1037,6,30
1300,4,33
1388,6,33
1487,2,26
1659,10,33
2258,1,28
2431,5,32
2811,3,27
2846,8,33
3518,8,33
3809,7,31
3931,7,32
4406,7,31
4602,5,29
4608,3,31
2221,8,33
2976,8,28
4812,7,27
3587,4,27
71,3,32
377,8,30
509,7,32
622,7,32
875,3,31
2030,3,27
2092,9,33
2186,5,31
2663,7,32
2963,6,28
3360,4,31
3567,4,32
4196,7,32
4290,4,31
4474,10,32
4773,9,29
4825,3,32
872,7,32
924,7,33
3344,7,33
4003,5,25
294,5,33
563,7,33
715,8,32
886,8,33
2662,5,32
3148,2,28
3281,3,32
3833,7,32
4241,3,30
446,9,33
1340,5,33
1814,6,28
2416,2,26
3015,8,31
3113,3,32
3346,9,33
3619,7,33
4523,2,30
1530,6,30
4661,1,33
3464,6,27
1715,4,33
844,5,30
4779,6,31
1542,2,26
2746,8,33
749,4,30
4506,9,31
4615,6,32
4229,4,33
107,3,24
481,3,30
600,4,30
677,3,33
714,4,31
719,6,31
793,3,33
896,4,31
940,6,29
1046,7,33
1047,8,32
1292,6,32
2054,4,31
2641,7,28
3043,8,32
3410,3,30
3461,6,28
3788,5,32
4565,5,26
4693,4,32
474,5,32
1074,5,32
2677,8,33
2851,10,32
4286,5,33
4322,4,23
309,6,31
459,2,26
1149,4,29
1402,2,28
2208,7,33
2803,8,33
2979,5,33
3709,2,24
4472,7,33
87,4,24
496,8,32
1718,4,29
1449,5,31
265,2,26
313,2,26
360,11,33
408,2,23
650,3,32
721,5,33
895,2,19
1540,3,29
2098,7,33
2659,9,32
3534,2,32
3718,2,30
1594,4,30
3802,2,26
4697,5,32
421,8,32
3606,2,32
3731,2,31
45,3,22
1926,2,25
3069,2,31
3720,3,27
3002,2,24
3645,3,29
2074,1,20
4610,5,31
2841,8,33
4246,1,21
3419,7,33
2242,3,33
3395,2,33
183,4,32
225,3,29
1284,7,32
1649,12,30
1935,7,33
2927,3,32
3009,9,32
3027,6,27
3160,4,31
98,3,31
1138,8,33
1706,4,30
1862,9,32
2399,1,31
2540,3,30
4870,1,32
555,1,19
592,5,33
953,9,33
1809,2,23
1817,5,32
2262,7,30
3302,4,27
3896,3,33
4588,4,30
1383,8,31
3597,3,31
3979,7,31
3394,4,31
833,6,30
1598,2,33
1813,1,27
1833,4,32
1936,6,26
2179,10,33
2375,5,32
4373,3,32
4664,5,21
4674,3,32
4758,2,21
1059,6,28
1742,3,32
609,4,29
1593,1,23
1667,3,30
2562,7,31
3426,1,29
3867,3,28
